기준_년분기_코드,상권_코드_명,임대료,임대료_전년동분기_상승률(%),일반_점포_수,총_점포_수(유사업종),개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,개업률_재계산(%),폐업률_재계산(%),점포교체율(%),프랜차이즈비율(%),폐업률_전년동분기_변화(%p),점포교체율_전년동분기_변화(%p),프랜차이즈비율_전년동분기_변화(%p),예상_원본상권_수,관측된_원본상권_수,매칭_원본상권명,매칭_주의
기준_년분기_코드	상권_코드_명	임대료	임대료_전년동분기_상승률(%)	일반_점포_수	총_점포_수(유사업종)	개업_점포_수	폐업_점포_수	프랜차이즈_점포_수	개업률_재계산(%)	폐업률_재계산(%)	점포교체율(%)	프랜차이즈비율(%)	폐업률_전년동분기_변화(%p)	점포교체율_전년동분기_변화(%p)	프랜차이즈비율_전년동분기_변화(%p)	예상_원본상권_수	관측된_원본상권_수	매칭_원본상권명	매칭_주의
20211	남대문			3451	3502	59	64	51	1.6848	1.8275	3.5123	1.4563				3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20212	남대문			3421	3473	63	92	52	1.8140	2.6490	4.4630	1.4973				3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20213	남대문			3407	3459	36	50	52	1.0408	1.4455	2.4863	1.5033				3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20214	남대문			3399	3450	40	49	51	1.1594	1.4203	2.5797	1.4783				3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20221	남대문			3409	3459	51	42	50	1.4744	1.2142	2.6886	1.4455	-0.6133	-0.8236	-0.0108	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20222	남대문			3417	3467	35	27	50	1.0095	0.7788	1.7883	1.4422	-1.8702	-2.6747	-0.0551	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20223	남대문			3391	3440	53	80	49	1.5407	2.3256	3.8663	1.4244	0.8801	1.3800	-0.0789	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20224	남대문			3382	3431	44	53	49	1.2824	1.5447	2.8272	1.4282	0.1244	0.2475	-0.0501	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20231	남대문			3347	3397	36	70	50	1.0598	2.0606	3.1204	1.4719	0.8464	0.4318	0.0264	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20232	남대문			3321	3373	32	56	52	0.9487	1.6602	2.6090	1.5417	0.8815	0.8207	0.0995	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20233	남대문			3289	3341	39	71	52	1.1673	2.1251	3.2924	1.5564	-0.2005	-0.5739	0.1320	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20234	남대문			3264	3315	21	47	51	0.6335	1.4178	2.0513	1.5385	-0.1269	-0.7759	0.1103	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20241	남대문			3242	3292	35	58	50	1.0632	1.7618	2.8250	1.5188	-0.2988	-0.2954	0.0469	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20242	남대문			3233	3284	50	58	51	1.5225	1.7661	3.2887	1.5530	0.1059	0.6797	0.0113	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20243	남대문	69.6		3206	3258	35	61	52	1.0743	1.8723	2.9466	1.5961	-0.2528	-0.3458	0.0397	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20244	남대문	69.7		3201	3254	38	42	53	1.1678	1.2907	2.4585	1.6288	-0.1271	0.4072	0.0903	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20251	남대문	69.4		3168	3220	39	71	52	1.2112	2.2050	3.4161	1.6149	0.4431	0.5911	0.0961	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20252	남대문	75.6		3161	3214	33	38	53	1.0268	1.1823	2.2091	1.6490	-0.5838	-1.0796	0.0961	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20253	남대문	76.1	9.3391	3168	3222	51	42	54	1.5829	1.3035	2.8864	1.6760	-0.5688	-0.0602	0.0799	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20254	남대문	76.5	9.7561	3159	3212	31	40	53	0.9651	1.2453	2.2105	1.6501	-0.0454	-0.2481	0.0213	3	3	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20261	남대문	77.0	10.9510													3	0	남대문시장(자유상가)[전통시장] | 삼익패션타운(남대문시장)[전통시장] | 숭례문수입상가(남대문시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20211	동대문			2743	2896	42	125	153	1.4503	4.3163	5.7666	5.2831				2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20212	동대문			2732	2886	58	68	154	2.0097	2.3562	4.3659	5.3361				2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20213	동대문			2707	2860	77	103	153	2.6923	3.6014	6.2937	5.3497				2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20214	동대문			2708	2864	70	66	156	2.4441	2.3045	4.7486	5.4469				2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20221	동대문			2725	2879	85	70	154	2.9524	2.4314	5.3838	5.3491	-1.8849	-0.3828	0.0659	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20222	동대문			2730	2888	43	34	158	1.4889	1.1773	2.6662	5.4709	-1.1789	-1.6997	0.1348	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20223	동대문			2710	2865	62	85	155	2.1640	2.9668	5.1309	5.4101	-0.6346	-1.1628	0.0605	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20224	동대문			2715	2873	74	66	158	2.5757	2.2973	4.8730	5.4995	-0.0072	0.1244	0.0526	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20231	동대문			2706	2858	69	84	152	2.4143	2.9391	5.3534	5.3184	0.5077	-0.0304	-0.0307	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20232	동대문			2731	2882	72	48	151	2.4983	1.6655	4.1638	5.2394	0.4882	1.4976	-0.2315	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20233	동대문			2725	2875	72	79	150	2.5043	2.7478	5.2522	5.2174	-0.2190	0.1213	-0.1927	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20234	동대문			2713	2862	45	58	149	1.5723	2.0266	3.5989	5.2061	-0.2707	-1.2741	-0.2933	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20241	동대문			2659	2810	50	102	151	1.7794	3.6299	5.4093	5.3737	0.6908	0.0559	0.0553	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20242	동대문			2626	2775	26	61	149	0.9369	2.1982	3.1351	5.3694	0.5327	-1.0286	0.1300	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20243	동대문	52.5		2574	2721	28	82	147	1.0290	3.0136	4.0426	5.4024	0.2658	-1.2095	0.1850	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20244	동대문	52.5		2538	2684	25	61	146	0.9314	2.2727	3.2042	5.4396	0.2462	-0.3947	0.2335	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20251	동대문	52.9		2500	2646	29	67	146	1.0960	2.5321	3.6281	5.5178	-1.0978	-1.7811	0.1441	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20252	동대문	52.9		2480	2624	39	59	144	1.4863	2.2485	3.7348	5.4878	0.0503	0.5996	0.1184	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20253	동대문	53.1	1.1429	2446	2585	26	62	139	1.0058	2.3985	3.4043	5.3772	-0.6151	-0.6384	-0.0252	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20254	동대문	53.1	1.1429	2426	2564	20	41	138	0.7800	1.5991	2.3791	5.3822	-0.6737	-0.8251	-0.0574	2	2	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20261	동대문	53.1	0.3781													2	0	동대문역[발달상권] | 동대문역사문화공원역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20211	명동			2345	2633	36	89	288	1.3673	3.3802	4.7474	10.9381				2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20212	명동			2320	2608	45	70	288	1.7255	2.6840	4.4095	11.0429				2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20213	명동			2312	2601	52	59	289	1.9992	2.2684	4.2676	11.1111				2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20214	명동			2302	2590	52	63	288	2.0077	2.4324	4.4402	11.1197				2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20221	명동			2308	2589	50	51	281	1.9312	1.9699	3.9011	10.8536	-1.4103	-0.8463	-0.0845	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20222	명동			2320	2601	46	34	281	1.7686	1.3072	3.0757	10.8035	-1.3769	-1.3338	-0.2394	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20223	명동			2316	2599	56	58	283	2.1547	2.2316	4.3863	10.8888	-0.0367	0.1187	-0.2223	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20224	명동			2351	2646	96	49	295	3.6281	1.8519	5.4800	11.1489	-0.5806	1.0398	0.0292	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20231	명동			2363	2653	76	69	290	2.8647	2.6008	5.4655	10.9310	0.6310	1.5644	0.0774	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20232	명동			2384	2679	76	50	295	2.8369	1.8664	4.7032	11.0116	0.5592	1.6275	0.2080	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20233	명동			2418	2712	82	49	294	3.0236	1.8068	4.8304	10.8407	-0.4248	0.4441	-0.0481	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20234	명동			2429	2726	72	58	297	2.6412	2.1277	4.7689	10.8951	0.2758	-0.7111	-0.2538	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20241	명동			2428	2725	55	56	297	2.0183	2.0550	4.0734	10.8991	-0.5458	-1.3921	-0.0319	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20242	명동			2484	2778	108	55	294	3.8877	1.9798	5.8675	10.5832	0.1135	1.1643	-0.4284	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20243	명동	137.7		2496	2789	57	46	293	2.0437	1.6493	3.6931	10.5056	-0.1574	-1.1373	-0.3352	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20244	명동	139.0		2515	2804	68	53	289	2.4251	1.8902	4.3153	10.3067	-0.2375	-0.4536	-0.5884	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20251	명동	139.5		2500	2784	52	71	284	1.8678	2.5503	4.4181	10.2011	0.4952	0.3447	-0.6979	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20252	명동	140.0		2494	2787	64	58	293	2.2964	2.0811	4.3775	10.5131	0.1012	-1.4901	-0.0701	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20253	명동	141.5	2.7596	2508	2802	67	52	294	2.3911	1.8558	4.2470	10.4925	0.2065	0.5539	-0.0131	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20254	명동	144.2	3.7410	2538	2825	74	54	287	2.6195	1.9115	4.5310	10.1593	0.0213	0.2157	-0.1474	2	2	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20261	명동	147.6	5.8065													2	0	명동(명동거리)[발달상권] | 명동역(명동재미로)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20211	방산시장			421	426	8	7	5	1.8779	1.6432	3.5211	1.1737				1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20212	방산시장			418	424	8	10	6	1.8868	2.3585	4.2453	1.4151				1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20213	방산시장			424	430	16	10	6	3.7209	2.3256	6.0465	1.3953				1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20214	방산시장			425	431	10	9	6	2.3202	2.0882	4.4084	1.3921				1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20221	방산시장			426	432	9	8	6	2.0833	1.8519	3.9352	1.3889	0.2087	0.4141	0.2152	1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20222	방산시장			423	429	3	6	6	0.6993	1.3986	2.0979	1.3986	-0.9599	-2.1474	-0.0165	1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20223	방산시장			419	425	0	4	6	0.0000	0.9412	0.9412	1.4118	-1.3844	-5.1053	0.0164	1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20224	방산시장			423	429	9	5	6	2.0979	1.1655	3.2634	1.3986	-0.9227	-1.1449	0.0065	1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20231	방산시장			422	428	8	9	6	1.8692	2.1028	3.9720	1.4019	0.2510	0.0368	0.0130	1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20232	방산시장			418	425	9	12	7	2.1176	2.8235	4.9412	1.6471	1.4249	2.8433	0.2485	1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20233	방산시장			419	425	7	7	6	1.6471	1.6471	3.2941	1.4118	0.7059	2.3529	0.0000	1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20234	방산시장			417	423	4	6	6	0.9456	1.4184	2.3641	1.4184	0.2529	-0.8993	0.0198	1	1	방산종합시장(방산시장)[전통시장]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
